experimen_no,algorithm,query_strategy,number_of_instances,f1
0,"state=0/foldid=0/ask_ids=['99:2', '121:2', '98:1', '69:2', '86:2', '95:1', '127:2', '137:1', '151:3', '105:4']",cnn-sep,lc,58,0.7644636370375862
1,"state=0/foldid=0/ask_ids=['111:4', '55:3', '76:1', '62:4', '88:3', '133:4', '123:4', '135:2', '149:2', '51:1']",cnn-sep,lc,68,0.7558675832480132
2,"state=0/foldid=0/ask_ids=['150:1', '138:2', '112:2', '104:3', '162:2', '81:3', '108:2', '118:1', '110:2', '80:2']",cnn-sep,lc,78,0.7659653008490217
3,"state=0/foldid=0/ask_ids=['60:1', '140:1', '144:3', '163:1', '160:1', '136:2', '49:3', '82:3', '71:2', '156:4']",cnn-sep,lc,88,0.8207861363910458
4,"state=0/foldid=0/ask_ids=['79:3', '125:4', '120:4', '153:4', '115:4', '165:4', '87:4', '130:2', '63:4', '48:4']",cnn-sep,lc,98,0.7977149262339306
5,"state=0/foldid=0/ask_ids=['67:1', '61:4', '155:2', '103:2', '154:1', '70:4', '73:2', '152:2', '113:2', '142:1']",cnn-sep,lc,108,0.7324223602484472
6,"state=0/foldid=0/ask_ids=['124:2', '107:2', '89:3', '57:4', '101:1', '106:2', '56:4', '59:2', '119:2', '75:1']",cnn-sep,lc,118,0.7979433255443048
7,"state=0/foldid=0/ask_ids=['52:3', '97:3', '117:3', '143:3', '85:3', '93:1', '109:3', '74:3', '139:2', '132:2']",cnn-sep,lc,128,0.817237229001935
8,"state=0/foldid=0/ask_ids=['77:2', '90:1', '161:2', '65:4', '66:1', '91:2', '102:2', '122:1', '145:1', '128:2']",cnn-sep,lc,138,0.7657127755964965
9,"state=0/foldid=0/ask_ids=['53:2', '126:2', '58:3', '158:1', '159:1', '146:1', '148:3', '157:2', '129:2', '96:2']",cnn-sep,lc,148,0.7852090787119858
10,"state=0/foldid=0/ask_ids=['141:2', '84:2', '72:2', '68:2', '100:1', '83:2', '147:2', '94:2', '131:1', '64:1']",cnn-sep,lc,158,0.788459637887413
