['experimen_no', 'algorithm', 'query_strategy', 'number_of_instances', 'f1']
0,"state=0/foldid=0/ask_ids=['155:2', '34:3', '112:2', '97:4', '114:2', '47:1', '81:3', '105:2', '159:3', '65:2']",cnn-sep,lc,30,0.6329239766081871
1,"state=0/foldid=0/ask_ids=['47:1', '152:4', '135:1', '141:1', '22:1', '156:2', '72:1', '108:2', '104:1', '113:2']",cnn-sep,rs,30,0.6556481366330887
0,"state=0/foldid=1/ask_ids=['25:2', '137:2', '111:1', '74:2', '119:2', '47:1', '21:1', '75:1', '85:2', '154:1']",cnn-sep,lc,30,0.6709618874773139
1,"state=0/foldid=1/ask_ids=['34:3', '49:3', '154:1', '85:2', '103:3', '142:2', '55:1', '122:3', '165:3', '156:3']",cnn-sep,rs,30,0.5528099910793933
0,"state=0/foldid=2/ask_ids=['61:2', '45:2', '127:4', '121:2', '73:2', '105:2', '137:2', '35:1', '86:2', '134:1']",cnn-sep,lc,30,0.7364927136920932
1,"state=0/foldid=2/ask_ids=['86:2', '98:2', '108:2', '29:4', '165:3', '160:4', '106:2', '46:2', '107:4', '55:1']",cnn-sep,rs,30,0.779081354081354
0,"state=1/foldid=0/ask_ids=['57:4', '34:3', '107:4', '48:4', '103:3', '149:3', '29:4', '79:4', '59:1', '56:1']",cnn-sep,lc,30,0.7687930845825584
1,"state=1/foldid=0/ask_ids=['164:4', '37:4', '34:3', '129:1', '32:2', '24:2', '92:2', '67:2', '114:2', '152:4']",cnn-sep,rs,30,0.7117506587615283
0,"state=1/foldid=1/ask_ids=['43:2', '125:3', '109:1', '80:4', '46:2', '156:2', '161:3', '29:4', '85:2', '44:1']",cnn-sep,lc,30,0.6624658236500341
1,"state=1/foldid=1/ask_ids=['34:3', '94:2', '150:2', '96:3', '165:3', '76:3', '39:3', '146:1', '82:2', '124:1']",cnn-sep,rs,30,0.6152846896955504
0,"state=1/foldid=2/ask_ids=['78:4', '81:3', '91:3', '35:2', '129:1', '114:3', '165:3', '63:2', '157:1', '28:4']",cnn-sep,lc,30,0.5055691275474549
1,"state=1/foldid=2/ask_ids=['130:2', '46:2', '157:1', '80:4', '117:2', '58:4', '154:1', '24:2', '62:3', '133:3']",cnn-sep,rs,30,0.6600433235495154
0,"state=2/foldid=0/ask_ids=['57:4', '164:4', '64:3', '51:4', '118:3', '125:3', '161:3', '86:3', '72:1', '144:1']",cnn-sep,lc,30,0.7379601530544926
1,"state=2/foldid=0/ask_ids=['23:2', '93:4', '130:2', '162:1', '80:4', '62:3', '22:1', '138:1', '127:4', '87:4']",cnn-sep,rs,30,0.6019055509527755
0,"state=2/foldid=1/ask_ids=['87:3', '165:3', '96:3', '91:3', '75:1', '120:3', '47:1', '79:3', '21:1', '146:1']",cnn-sep,lc,30,0.6070848908125122
1,"state=2/foldid=1/ask_ids=['71:1', '125:3', '42:2', '103:3', '46:2', '45:2', '65:2', '69:2', '124:1', '81:3']",cnn-sep,rs,30,0.6830702861952862
0,"state=2/foldid=2/ask_ids=['99:3', '29:4', '160:4', '36:1', '141:1', '158:3', '125:3', '61:3', '105:2', '118:3']",cnn-sep,lc,30,0.5668027210884353
1,"state=2/foldid=2/ask_ids=['36:1', '40:4', '157:1', '107:4', '97:4', '49:3', '85:2', '31:2', '48:4', '51:4']",cnn-sep,rs,30,0.7014180672268907
