,experimen_no,algorithm,query_strategy,number_of_instances,f1
0,state=0/foldid=0,lr,,383,0.4248285300789429
1,state=0/foldid=1,lr,,383,0.3761183898186334
2,state=0/foldid=2,lr,,382,0.34884681500048575
3,state=1/foldid=0,lr,,383,0.34314842193309936
4,state=1/foldid=1,lr,,383,0.34830211346643275
5,state=1/foldid=2,lr,,382,0.4090366942225012
6,state=2/foldid=0,lr,,383,0.407629778601329
7,state=2/foldid=1,lr,,383,0.32596402046180345
8,state=2/foldid=2,lr,,382,0.4056235431465624
9,state=3/foldid=0,lr,,383,0.4017120744954914
10,state=3/foldid=1,lr,,383,0.3962379364331193
11,state=3/foldid=2,lr,,382,0.4225159337357565
12,state=4/foldid=0,lr,,383,0.4092552725566727
13,state=4/foldid=1,lr,,383,0.39634715650986857
14,state=4/foldid=2,lr,,382,0.4351677253328486
15,state=5/foldid=0,lr,,383,0.3200743846924707
16,state=5/foldid=1,lr,,383,0.4344947636664791
17,state=5/foldid=2,lr,,382,0.43229707292710756
18,state=6/foldid=0,lr,,383,0.35677165840251757
19,state=6/foldid=1,lr,,383,0.4122757248826567
20,state=6/foldid=2,lr,,382,0.36500865832529755
21,state=7/foldid=0,lr,,383,0.3537910835019044
22,state=7/foldid=1,lr,,383,0.40651044482097004
23,state=7/foldid=2,lr,,382,0.36910387726839416
24,state=8/foldid=0,lr,,383,0.39856829273637495
25,state=8/foldid=1,lr,,383,0.40834709820631576
26,state=8/foldid=2,lr,,382,0.3825155942005578
27,state=9/foldid=0,lr,,383,0.43810724804290097
28,state=9/foldid=1,lr,,383,0.35356949509329677
29,state=9/foldid=2,lr,,382,0.41816105478077303
